rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	3	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	19788.03314413304906338	21158.83626435398400645	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.16226756481165872	-0.17291357134144825
2	3	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	21821.83521892713906709	23700.03461293402870069	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.06443384907695204	-0.05949467125909180
3	3	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	22121.51676269757808768	28903.77884178152453387	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.05079418909141786	0.13900116248112049
4	3	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	20540.23629082514889888	22088.33721302748017479	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.12495922476770538	-0.12992143855145066
5	3	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	24258.80558931289124303	22385.93300446282228222	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04143473542054643	-0.11653840914052438
6	3	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	21326.72066822994020185	23260.65177178734302288	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.08738415517233911	-0.07820801201947880
7	3	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	20432.02785538510579499	24931.70269412112247664	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.13024127052619505	-0.00883098565521578
8	3	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	23642.82485269348399015	22113.38655504173220834	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01571474687680841	-0.12878802824251068
9	3	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	23962.16831883919076063	22544.20309309530057362	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02913133346302033	-0.10949321600202211
10	3	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	25477.92589952528942376	24632.68645634838685510	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.09046749313622016	-0.02089690114865128
1	4	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	25092.31847626587114064	31463.61025459026859608	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.07521682935980323	0.22386046816557403
2	4	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	27864.97075203572603641	30465.20737422773163416	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.18002543825311612	0.19161411078310842
3	4	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	28824.61670024247723632	28832.86452736941646435	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.21388483545334047	0.13654468611070136
4	4	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	28840.35966736150658107	28872.09168133064304129	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.21443085033106435	0.13790426291591729
5	4	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	26326.36734788468675106	31031.35324174079141812	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.12322606457444429	0.21002690840432869
6	4	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	28706.16470175025824574	28153.19971299653116148	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.20976696453322674	0.11268983480197470
7	4	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	27260.90198154197787517	29832.01059218113732641	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.15810858068167910	0.17061081807704070
8	4	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	28581.34952470585994888	34538.58109354184853146	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.20540945744891559	0.31710581191993015
9	4	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	24752.12524833278803271	30481.69263856573888916	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.06156642081074715	0.19215508217743960
10	4	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	28748.06100413722379017	30471.67100622415819089	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.21122538849763828	0.19182625266475561
1	5	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	23280.16356121009812341	30384.56646602414184599	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00025671552677231	0.18896361759887448
2	5	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	18997.31115994020001381	27594.71582247254991671	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.20304748188300614	0.09265311882514204
3	5	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	25174.51372330347294337	35784.54994111956330016	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.07848718942424959	0.35254505450431672
4	5	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	23329.92752531361111323	27702.18607419166073669	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00239204638977952	0.09654014986474735
5	5	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	23341.91719716827356024	31687.44837189117606613	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00290583247171838	0.23094947220018192
6	5	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	21643.04516409732968896	33376.56832581449270947	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.07266076983054326	0.28288292679154736
7	5	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	23378.99357212241375237	30555.51519242407448473	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00449297545016947	0.19457401949380504
8	5	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	22089.35141272991677397	27352.61626484091902967	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.05224927726183282	0.08384100311044129
9	5	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	20036.51342422416928457	31104.91801573097836808	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.14978865288385279	0.21239476237666821
10	5	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	19051.56120386836118996	28936.57429023181612138	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.20019588196324101	0.14013516150390970
1	6	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	19407.00314695440465584	21217.50883632257682621	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.18171094525138010	-0.17014445053496452
2	6	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	25887.84917840770867770	23949.72583699481765507	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.10642878179537796	-0.04901430337616475
3	6	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	20563.82579818665180937	21994.28196583824319532	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.12381143018233232	-0.13418867092848785
4	6	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	21829.02824129463988356	22206.68130326555547072	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.06410427839438526	-0.12457797665492976
5	6	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	23277.50080444542618352	20857.08892377728261636	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00014233020251453	-0.18727729305707719
6	6	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	22501.48649591628418420	21388.26533840366028016	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.03376355962371136	-0.16212875690349904
