rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
8	3	0.56780461081266553	-0.00749875068630215	3.98662182967743695	-0.00154871378715785	0.01972964614498423	0.24554486775793796	-0.04520697295455611	-0.00749875068630215	0.00000000000000000	-0.00154871378715785	0.01972964614498423	0.00000000000000000
9	3	0.55605452136368461	-0.08064251176164139	3.98662182967743695	-0.12372502464328279	-0.09368236485716638	0.24554486775793796	-0.05695706240353704	-0.08064251176164139	0.00000000000000000	-0.12372502464328279	-0.09368236485716638	0.00000000000000000
10	3	0.59342768757952713	-0.02048338241768588	3.98662182967743695	-0.18133710588294891	-0.04985061446209863	0.24554486775793796	-0.01958389618769452	-0.02048338241768588	0.00000000000000000	-0.18133710588294891	-0.04985061446209863	0.00000000000000000
1	4	0.77709589407983837	-0.03976149658370552	3.98662182967743695	-0.04919352657269813	-0.05593278915727583	0.24554486775793796	0.16408431031261672	-0.03976149658370552	0.00000000000000000	-0.04919352657269813	-0.05593278915727583	0.00000000000000000
2	4	0.72678598988153376	0.25499208996027245	3.98662182967743695	0.18300376774647326	0.01423787757667806	0.24554486775793796	0.11377440611431211	0.25499208996027245	0.00000000000000000	0.18300376774647326	0.01423787757667806	0.00000000000000000
3	4	0.78470572251074211	0.19660754691713714	3.98662182967743695	-0.07509349284363570	-0.02542313076543525	0.24554486775793796	0.17169413874352046	0.19660754691713714	0.00000000000000000	-0.07509349284363570	-0.02542313076543525	0.00000000000000000
4	4	0.71411861212649264	0.11787009405007853	3.98662182967743695	-0.00571771802112765	-0.02416737903001057	0.24554486775793796	0.10110702835927099	0.11787009405007853	0.00000000000000000	-0.00571771802112765	-0.02416737903001057	0.00000000000000000
5	4	0.73855027924507644	0.47797896145489344	3.98662182967743695	0.00370822620658262	0.04731536531354828	0.24554486775793796	0.12553869547785479	0.47797896145489344	0.00000000000000000	0.00370822620658262	0.04731536531354828	0.00000000000000000
6	4	0.73206200266592392	0.20216513879991940	3.98662182967743695	0.00476543190117574	-0.01392220319804609	0.24554486775793796	0.11905041889870227	0.20216513879991940	0.00000000000000000	0.00476543190117574	-0.01392220319804609	0.00000000000000000
7	4	0.67768003079188255	0.56530121123781596	3.98662182967743695	0.01978553842873231	0.00611380357227664	0.24554486775793796	0.06466844702466090	0.56530121123781596	0.00000000000000000	0.01978553842873231	0.00611380357227664	0.00000000000000000
8	4	0.75221643370427016	0.36797129374637860	3.98662182967743695	0.04352384776989507	0.05376484371854278	0.24554486775793796	0.13920484993704851	0.36797129374637860	0.00000000000000000	0.04352384776989507	0.05376484371854278	0.00000000000000000
9	4	0.71973980884880473	0.36076629077197458	3.98662182967743695	0.01760500119265192	0.03754987066960180	0.24554486775793796	0.10672822508158308	0.36076629077197458	0.00000000000000000	0.01760500119265192	0.03754987066960180	0.00000000000000000
10	4	0.75474888847126165	0.21697683508156210	3.98662182967743695	0.01068377866595815	0.03160576844024645	0.24554486775793796	0.14173730470404000	0.21697683508156210	0.00000000000000000	0.01068377866595815	0.03160576844024645	0.00000000000000000
1	5	0.57856674863627833	0.07546992503572150	3.98662182967743695	-0.06715610483572781	-0.19924459897387181	0.24554486775793796	-0.03444483513094332	0.07546992503572150	0.00000000000000000	-0.06715610483572781	-0.19924459897387181	0.00000000000000000
2	5	0.65149781099554516	-0.06698767178951209	3.98662182967743695	-0.08478105036365832	-0.18520902903828429	0.24554486775793796	0.03848622722832351	-0.06698767178951209	0.00000000000000000	-0.08478105036365832	-0.18520902903828429	0.00000000000000000
3	5	0.58435479559079062	0.21580114459692695	3.98662182967743695	0.06253697367454222	-0.12867260011190984	0.24554486775793796	-0.02865678817643103	0.21580114459692695	0.00000000000000000	0.06253697367454222	-0.12867260011190984	0.00000000000000000
4	5	0.65537974332865245	-0.30407714833172383	3.98662182967743695	-0.03626117172697498	-0.18517088863457137	0.24554486775793796	0.04236815956143081	-0.30407714833172383	0.00000000000000000	-0.03626117172697498	-0.18517088863457137	0.00000000000000000
5	5	0.60968670083860099	-0.16335232976823066	3.98662182967743695	0.07453617923293826	-0.16234133063460629	0.24554486775793796	-0.00332488292862065	-0.16335232976823066	0.00000000000000000	0.07453617923293826	-0.16234133063460629	0.00000000000000000
6	5	0.58349631337774033	-0.12013008625717320	3.98662182967743695	0.11711188111239433	-0.16886774269546559	0.24554486775793796	-0.02951527038948132	-0.12013008625717320	0.00000000000000000	0.11711188111239433	-0.16886774269546559	0.00000000000000000
7	5	0.63053699067721036	-0.29580695366299015	3.98662182967743695	0.05990012349446296	-0.15238636771230712	0.24554486775793796	0.01752540690998872	-0.29580695366299015	0.00000000000000000	0.05990012349446296	-0.15238636771230712	0.00000000000000000
8	5	0.62039425390567426	0.07764429693411279	3.98662182967743695	0.16661781800274253	-0.07425714856386387	0.24554486775793796	0.00738267013845262	0.07764429693411279	0.00000000000000000	0.16661781800274253	-0.07425714856386387	0.00000000000000000
9	5	0.64505945609530524	0.07391526989402455	3.98662182967743695	0.26072842778903776	-0.12155788275312578	0.24554486775793796	0.03204787232808359	0.07391526989402455	0.00000000000000000	0.26072842778903776	-0.12155788275312578	0.00000000000000000
